stop_frisk_id,stop_frisk_date,stop_frisk_time,year2,month2,day2,stop_was_initiated,record_status_code,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,supervising_action_corresponding_activity_log_entry_reviewed,location_in_out_code,jurisdiction_code,jurisdiction_description,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,officer_not_explained_stop_description,other_person_stopped_flag,suspect_arrested_flag,suspect_arrest_offense,summons_issued_flag,summons_offense_description,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,frisked_flag,searched_flag,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,physical_force_cew_flag,physical_force_draw_point_firearm_flag,physical_force_handcuff_suspect_flag,physical_force_oc_spray_used_flag,physical_force_other_flag,physical_force_restraint_used_flag,physical_force_verbal_instruction_flag,physical_force_weapon_impact_flag,backround_circumstances_violent_crime_flag,backround_circumstances_suspect_known_to_carry_weapon_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,search_basis_admission_flag,search_basis_consent_flag,search_basis_hard_object_flag,search_basis_incidental_to_arrest_flag,search_basis_other_flag,search_basis_outline_flag,demeanor_code,demeanor_of_person_stopped,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,suspect_other_description,stop_location_precinct,stop_location_sector_code,stop_location_apartment,stop_location_full_address,stop_location_premises_name,stop_location_street_name,stop_location_x,stop_location_y,stop_location_zip_code,stop_location_patrol_boro_name,stop_location_boro_name,stop_id_anony,ask_for_consent_flg,consent_given_flg,stop_id
NA,2019-09-07,1899-12-31 15:20:00,2019,September,Saturday,Based on Radio Run,APP,POM,70,SGT,70,NA,I,P,PSB,1,PETIT LARCENY,20,Y,(null),Y,Y,CRIMINAL TRESPASS,N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),DE,"TALKED AND MOVED AROUND ALOT, ACTED NERVOUS",(null),FEMALE,WHITE HISPANIC,5.1,100,MED,BLK,BLK,BLACK SHIRT,70,A,(null),1439 OCEAN AVENUE,NA,OCEAN AVENUE,996290,167717,(null),PBBS,BROOKLYN,7639,N,N,NA
NA,2019-05-25,1899-12-31 15:45:00,2019,May,Saturday,Based on C/W on Scene,APP,POM,67,SGT,67,NA,O,(null),(null),2,CPW,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,COOPERATIVE,27,MALE,BLACK,5.9,170,MED,BRO,BLK,"WHITE TSHIRT, BLUE SHORTS",67,C,(null),814 LINDEN BOULEVARD,NA,LINDEN BOULEVARD,1004239,177540,(null),PBBS,BROOKLYN,7110,Y,Y,NA
NA,2019-12-28,1899-12-31 15:50:00,2019,December,Saturday,Based on Radio Run,APP,POM,868,SGT,868,NA,S,T,Transit,1,ROBBERY,30,Y,(null),Y,Y,ASSAULT,N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),DE,UPSET,21,MALE,BLACK,5.9,140,THN,BRO,BLK,NONE,84,C,(null),FLATBUSH AVENUE EXTENSION && DE KALB AVENUE,NA,FLATBUSH AVENUE EXTENSION,989387,190637,(null),PBBN,BROOKLYN,13448,N,N,NA
2017042010057,2017-03-10,1899-12-31 20:40:00,2017,March,Friday,Based on Self Initiated,APP,POM,807,SGT,807,Y,I,H,Housing,1,CRIMINAL TRESPASS,5,Y,(null),N,Y,CRIMINAL TRESPASS,N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,UNCOOPERATIVE,23,MALE,BLACK,6.3,170,THN,BRO,BLK,LIFELI,42,A,(null),1545 FULTON AVENUE,(null),FULTON AVENUE,1011893,244394,(null),PBBX,BRONX,NA,NA,NA,NA
2017090010127,2017-09-04,1899-12-31 08:07:00,2017,September,Monday,Based on Radio Run,APP,POM,090,SGT,090,Y,I,P,PSB,3,BURGLARY,23,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,BURGLARY,(null),MALE,BLACK,5.1,180,HEA,BRO,BLK,(null),90,D,(null),13 GRATTAN STREET,(null),GRATTAN STREET,1002915,196318,(null),PBBN,BROOKLYN,NA,NA,NA,NA
NA,2020-01-17,1899-12-31 03:30:00,2020,January,Friday,Based on Radio Run,APP,POM,75,SGT,75,NA,O,P,PSB,1,BURGLARY,15,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,NA,32,MALE,BLACK,5.8,225,MED,(null),(nu,(null),75,A,(null),107 PINE ST,NA,PINE ST,1019402,188539,11208,PBBN,BROOKLYN,NA,N,N,496
6804,2018-08-06,1899-12-31 17:55:00,2018,August,Monday,Based on Self Initiated,APP,POM,808,SGT,318,Y,O,(null),(null),1,CPW,3,Y,(null),N,N,(null),N,(null),N,(null),S,(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,NORMAL,27,MALE,BLACK,5.0999999999999996,170,THN,BRO,BLD,(null),43,B,(null),407 ZEREGA AVENUE,(null),ZEREGA AVENUE,1027102,236303,(null),PBBX,BRONX,NA,NA,NA,NA
2017103010146,2017-11-19,1899-12-31 04:54:00,2017,November,Sunday,Based on Radio Run,APP,POM,103,SGT,103,Y,O,P,PSB,1,ROBBERY,14,Y,(null),Y,Y,ROBBERY,N,(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,ROBBERY,34,MALE,WHITE HISPANIC,5.2,150,MED,BRO,BLK,N/A,103,A,(null),149 STREET && 90 AVENUE,(null),149 STREET,1037966,195633,(null),PBQS,QUEENS,NA,NA,NA,NA
NA,2021-08-07,03:24:00,2021,August,Saturday,Based on Radio Run,APP,POM,078,LT,078,Y,O,P,PSB,0,BURGLARY,30,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,25,MALE,BLACK,6.2,200,HEA,BRO,BLK,BLACK SHIRT BLACK BACKPACK,078,A,(null),178 FLATBUSH AVE,NA,FLATBUSH AVE,990757,187912,NA,PBBS,BROOKLYN,NA,N,N,4631
NA,2019-05-01,1899-12-31 21:45:00,2019,May,Wednesday,Based on Radio Run,APP,POM,60,LT,60,NA,(null),(null),(null),1,PETIT LARCENY,13,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),DE,CALM,45,MALE,BLACK,6.1,200,THN,BRO,BLD,(null),60,D,(null),WEST 31 STREET && NEPTUNE AVENUE,NA,WEST 31 STREET,984838,149692,(null),PBBS,BROOKLYN,6254,Y,Y,NA
